date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:07	16216/16216	---M-Z	200	added ('OK')	text/html	etag:%222fae3efec4652d0f09a9f8ad1db4834c-ssl-df%22	https://dialock-hafele.netlify.app/	D:/3/test/dialock-hafele.netlify.app/index.html	(from )
13:43:07	4048/4048	---MCZ	404	error ('Not%20Found')	text/html	etag:1700200481-ssl-df	https://dialock-hafele.netlify.app/robots.txt		(from )
13:43:08	130267/130267	---M-Z	200	added ('OK')	text/css	etag:%22cbdecb18746ab1a403ca429c7c0479d9-ssl-df%22	https://dialock-hafele.netlify.app/assets/css/just-the-docs-default.css	D:/3/test/dialock-hafele.netlify.app/assets/css/just-the-docs-default.css	(from https://dialock-hafele.netlify.app/)
13:43:08	138/138	---M--	200	added ('OK')	text/css	etag:%226201abc446c7d3a716449be51aff816d-ssl%22	https://dialock-hafele.netlify.app/assets/css/just-the-docs-head-nav.css	D:/3/test/dialock-hafele.netlify.app/assets/css/just-the-docs-head-nav.css	(from https://dialock-hafele.netlify.app/)
13:43:09	31211/31211	---M-Z	200	added ('OK')	application/javascript	etag:%2289b65d1e5abbd42ff0aabc65acd5385d-ssl-df%22	https://dialock-hafele.netlify.app/assets/js/vendor/lunr.min.js	D:/3/test/dialock-hafele.netlify.app/assets/js/vendor/lunr.min.js	(from https://dialock-hafele.netlify.app/)
13:43:09	18918/18918	---M-Z	200	added ('OK')	application/javascript	etag:%2223fe6c69f787eb2c0b28168997b5b64d-ssl-df%22	https://dialock-hafele.netlify.app/assets/js/just-the-docs.js	D:/3/test/dialock-hafele.netlify.app/assets/js/just-the-docs.js	(from https://dialock-hafele.netlify.app/)
13:43:10	57/57	---M--	200	added ('OK')	text/css	etag:%22184b16ba07ef547eff19ce37399f70f7-ssl%22	https://dialock-hafele.netlify.app/css/general.css	D:/3/test/dialock-hafele.netlify.app/css/general.css	(from https://dialock-hafele.netlify.app/)
13:43:12	240416/240416	---M-Z	200	added ('OK')	application/javascript	etag:%22a95b2c6e42d4192d6cb08f8a22485559-ssl-df%22	https://identity.netlify.com/v1/netlify-identity-widget.js	D:/3/test/identity.netlify.com/v1/netlify-identity-widget.js	(from https://dialock-hafele.netlify.app/)
13:43:54	20669/20669	---MCZ	200	added ('OK')	text/html	etag:%22a6aed244c0adfb1032dc281370c0223c-ssl-df%22	https://dialock-hafele.netlify.app/ft200	D:/3/test/dialock-hafele.netlify.app/ft200.html	(from https://dialock-hafele.netlify.app/)
13:43:55	18065/18065	---MCZ	200	added ('OK')	text/html	etag:%22538181ff499bdb6e41d602ed0570e3db-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200_aux_port	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200_aux_port.html	(from https://dialock-hafele.netlify.app/)
13:43:55	18056/18056	---MCZ	200	added ('OK')	text/html	etag:%22feaf1766dc42e318d100c9e48aa4e256-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200_aux_output_alarm	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200_aux_output_alarm.html	(from https://dialock-hafele.netlify.app/)
13:43:56	18073/18073	---MCZ	200	added ('OK')	text/html	etag:%2214bd0149999b4d00eaec4bc7ba5a491a-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200_aux_output_lock	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200_aux_output_lock.html	(from https://dialock-hafele.netlify.app/)
13:43:57	18118/18118	---MCZ	200	added ('OK')	text/html	etag:%22876cec777bd4a35fac4eb91b0c874c37-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200_aux_monitor_both	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200_aux_monitor_both.html	(from https://dialock-hafele.netlify.app/)
13:43:57	17946/17946	---MCZ	200	added ('OK')	text/html	etag:%22f4db1f71fedce62d11cf830e0cc9d366-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200_aux_inter_locking	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200_aux_inter_locking.html	(from https://dialock-hafele.netlify.app/)
13:43:58	18194/18194	---MCZ	200	added ('OK')	text/html	etag:%22babec28b4f742d54c4f0cf08aa4ace33-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200-videos	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200-videos.html	(from https://dialock-hafele.netlify.app/)
13:43:59	17910/17910	---MCZ	200	added ('OK')	text/html	etag:%2282f9ee428158610ecbc426ada546b47d-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200-videos-individuals	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200-videos-individuals.html	(from https://dialock-hafele.netlify.app/)
13:43:59	17687/17687	---MCZ	200	added ('OK')	text/html	etag:%226dc08337f6372c7f5bd74814033cff74-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200-videos-two-antennas	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200-videos-two-antennas.html	(from https://dialock-hafele.netlify.app/)
13:44:01	18030/18030	---MCZ	200	added ('OK')	text/html	etag:%225129af310c9f09a2a5b69a3c8689363c-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200-videos-cellphones	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200-videos-cellphones.html	(from https://dialock-hafele.netlify.app/)
13:44:01	18596/18596	---MCZ	200	added ('OK')	text/html	etag:%22c37712444f765fdac8f8f3851e051e69-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200-videos-decoration-key	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200-videos-decoration-key.html	(from https://dialock-hafele.netlify.app/)
13:44:02	18407/18407	---MCZ	200	added ('OK')	text/html	etag:%22af3d4b15f5327da3fbe5fcf30c445c60-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200-videos-user-key	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200-videos-user-key.html	(from https://dialock-hafele.netlify.app/)
13:44:03	18434/18434	---MCZ	200	added ('OK')	text/html	etag:%22d03206302751fc67e1af073857193b1e-ssl-df%22	https://dialock-hafele.netlify.app/assets/ft200/ft200_videos_keep_user_key	D:/3/test/dialock-hafele.netlify.app/assets/ft200/ft200_videos_keep_user_key.html	(from https://dialock-hafele.netlify.app/)
